match_id,minute,scoring_team,scorer,is_home_goal,home_score_before,away_score_before,home_score_after,away_score_after,game_state_before,game_state_after,is_equalizer,is_go_ahead_goal,is_late_goal
4910212,33,Real Madrid,Maria Mendez,False,0,0,0,1,drawing,winning,False,True,False
4910212,40,Logrono,Isabel Corte,True,0,1,1,1,losing,drawing,True,False,False
4910212,78,Logrono,Merle Frohms,True,1,1,2,1,drawing,winning,False,True,True
4910212,90,Real Madrid,Signe Bruun,False,2,1,2,2,losing,drawing,True,False,True
4910213,26,Sevilla,Rosa Marquez,False,0,0,0,1,drawing,winning,False,True,False
4910214,23,Real Sociedad,Aiara Agirrezabala,False,0,0,0,1,drawing,winning,False,True,False
4910214,45,Real Sociedad,Aiara Agirrezabala,False,0,1,0,2,winning,winning,False,False,False
4910214,74,Madrid CFF,Allegra Poljak,True,0,2,1,2,losing,losing,False,False,False
4910214,83,Madrid CFF,Malou Rylov,True,1,2,2,2,losing,drawing,True,False,True
4910215,5,Barcelona,Caroline Graham Hansen,True,0,0,1,0,drawing,winning,False,True,False
4910215,11,Barcelona,Aitana Bonmati,True,1,0,2,0,winning,winning,False,False,False
4910215,28,Barcelona,Ewa Pajor,True,2,0,3,0,winning,winning,False,False,False
4910215,45,Barcelona,Ona Batlle,True,3,0,4,0,winning,winning,False,False,False
4910215,57,Barcelona,Caroline Graham Hansen,True,4,0,5,0,winning,winning,False,False,False
4910215,71,Barcelona,Claudia Pina,True,5,0,6,0,winning,winning,False,False,False
4910215,73,Barcelona,Claudia Pina,True,6,0,7,0,winning,winning,False,False,False
4910215,90,Barcelona,Claudia Pina,True,7,0,8,0,winning,winning,False,False,True
4910216,34,Atletico Madrid,Synne Jensen,False,0,0,0,1,drawing,winning,False,True,False
4910216,49,Atletico Madrid,Gabriela Garcia,False,0,1,0,2,winning,winning,False,False,False
4910216,64,Atletico Madrid,Fiamma Benitez,False,0,2,0,3,winning,winning,False,False,False
4910216,87,Atletico Madrid,Macarena Portales,False,0,3,0,4,winning,winning,False,False,True
4910216,90,Atletico Madrid,Luany Vitoria da Silva Rosa,False,0,4,0,5,winning,winning,False,False,True
4910218,17,Granada,Sonya Keefe,False,0,0,0,1,drawing,winning,False,True,False
4910218,23,Levante,Maria Gabaldon,True,0,1,1,1,losing,drawing,True,False,False
4910218,73,Granada,Sonya Keefe,False,1,1,1,2,drawing,winning,False,True,False
4910219,15,Barcelona,Vicky Lopez,False,0,0,0,1,drawing,winning,False,True,False
4910219,21,Barcelona,Patricia Guijarro,False,0,1,0,2,winning,winning,False,False,False
